datetime,open,high,low,close,volume,macd,macd_signal,macd_hist,ema
2024-05-02,172.42,173.41499,170.89,173.03,70245262,-0.50703,-1.15672,0.64969,170.3766
2024-05-01,169.58,172.71001,169.11,169.3,50383100,-0.83681,-1.31914,0.48232,169.71325
2024-04-30,173.33,174.99001,170.0,170.33,65934800,-0.86579,-1.43972,0.57393,169.81657
2024-04-29,173.37,176.03,173.10001,173.5,68169400,-0.99505,-1.5832,0.58815,169.68821
2024-04-26,169.88,171.34,169.17999,169.3,44838400,-1.46832,-1.73024,0.26192,168.73526
2024-04-25,169.53,170.61,168.14999,169.89,50558300,-1.62339,-1.79572,0.17233,168.59407
2024-04-24,166.53999,169.3,166.21001,169.02,48251800,-1.85778,-1.8388,-0.01898,168.27009
2024-04-23,165.35001,167.05,164.92,166.89999,49537800,-2.04135,-1.83406,-0.20729,168.08261
2024-04-22,165.52,167.25999,164.77,165.84,48116400,-2.0301,-1.78223,-0.24786,168.37826
2024-04-19,166.21001,166.39999,164.08,165.0,67772100,-1.87828,-1.72027,-0.15801,169.01283
2024-04-18,168.03,168.64,166.55,167.03999,43122900,-1.57165,-1.68077,0.10911,170.01604
2024-04-17,169.61,170.64999,168.0,168.0,50901200,-1.36514,-1.70804,0.34291,170.76005
2024-04-16,171.75,173.75999,168.27,169.38,73711200,-1.17944,-1.79377,0.61433,171.45006
2024-04-15,175.36,176.63,172.5,172.69,73531800,-1.06577,-1.94735,0.88158,171.96758
2024-04-12,174.25999,178.36,174.21001,176.55,101593300,-1.24221,-2.16775,0.92554,171.78697
2024-04-11,168.34,175.46001,168.16,175.03999,91070300,-1.84236,-2.39913,0.55677,170.59621
2024-04-10,168.8,169.09,167.11,167.78,49709300,-2.42782,-2.53833,0.1105,169.48527
2024-04-09,168.7,170.08,168.35001,169.67,42451200,-2.40058,-2.56595,0.16538,169.91159
2024-04-08,169.03,169.2,168.24001,168.45,37425500,-2.52332,-2.6073,0.08398,169.97198
2024-04-05,169.59,170.39,168.95,169.58,42055200,-2.51905,-2.62829,0.10924,170.35248
2024-04-04,170.28999,171.92,168.82001,168.82001,53704400,-2.59203,-2.6556,0.06357,170.5456
2024-04-03,168.78999,170.67999,168.58,169.64999,47691700,-2.57009,-2.67149,0.1014,170.977
2024-04-02,169.08,169.34,168.23,168.84,49329500,-2.58921,-2.69685,0.10763,171.30875
2024-04-01,171.19,171.25,169.48,170.03,46240500,-2.49348,-2.72375,0.23027,171.92593
2024-03-28,171.75,172.23,170.50999,171.48,65672700,-2.45619,-2.78132,0.32513,172.39992
2024-03-27,170.41,173.60001,170.11,173.31,60273300,-2.52051,-2.8626,0.3421,172.6299
2024-03-26,170.0,171.42,169.58,169.71001,57388400,-2.75226,-2.94813,0.19586,172.45987
2024-03-25,170.57001,171.94,169.45,170.85001,54288300,-2.64149,-2.99709,0.3556,173.14734
2024-03-22,171.75999,173.05,170.06,172.28,71106600,-2.57775,-3.086,0.50824,173.72167
2024-03-21,177.05,177.49001,170.84,171.37,106181300,-2.60451,-3.21306,0.60855,174.08209
